Бизнес-цель,№,Название метрики,Формула расчета,Целевой показатель,Требуемые ресурсы,Для чего нужна,Статус
Качество продукта,1,Соотношение найденных дефектов к количеству задач (эпиков) в релизе,Количество найденных дефектов / количество задач в релизе,3–5 дефектов на эпик,Tracker + связка дефект-задача,"Понять, сколько дефектов обнаруживаем при тестировании; скорректировать подход к тестированию и оценить необходимость заведения скрытых дефектов",Готово
Качество продукта,1.1,Процент дефектов в проде,"Дефекты, зарегистрированные на проде / все зарегистрированные дефекты x 100%",Не более 20%,Фильтр по среде (prod/stage),"Анализ причин ненахождения дефектов в тестовой сборке (метрика первого уровня)",Готово
Качество продукта,1.2,"Процент дефектов, найденных пользователями","Дефекты, выявленные пользователями / все зарегистрированные дефекты x 100%",Не более 5%,"Фильтр по автору дефекта (поддержка, клиент)","Анализ, какие дефекты критичны для пользователей",Требует донастройки
Качество продукта,1.3,"Процент дефектов, найденных не тестировщиками","Дефекты, выявленные не тестировщиками / все зарегистрированные дефекты x 100%",Не более 25%,Нужен фильтр по авторам дефектов (поддержка разработка продукт аналитика),"Понять, почему другие находят дефекты, которые пропустили тестировщики",Готово
Качество продукта,2,"Отношение количества ошибок, найденных до релиза, к найденным после",Количество дефектов до релиза / количество дефектов после релиза,Не менее 4:1,Требуется версионность,"Оценить, сколько ошибок позволяют обнаруживать тест-кейсы; тенденция качества тест-дизайна",Требует донастройки
Качество продукта,2.1,Эффективность тестов и тестовых наборов,Количество обнаруженных ошибок / количество кейсов в тестовом наборе,0,15–0,30 дефекта на кейс,Tracker + связка дефект-кейс,Отражает качество тест-дизайна и помогает следить за его тенденцией,Готово
Качество продукта,3,Общее количество хотфиксов в разрезе месяца/квартала,"Считаем количество хотфиксов в разрезах: месяц квартал год",Не более 2 в месяц,"Метка hotfix в трекере",Эффективность тестирования; отслеживание тенденции и причин хотфиксов,Готово
Снижение Time to market,1,Отношение количества задач с нарушением срока к задачам без нарушений (по исполнителю),Задачи с нарушением сроков / задачи без нарушения сроков,Не более 10%,Нужно указывать сроки и описания задач с ТЗ,Анализ причин сроков по каждой задаче и крупнейших сдвигов; планирование рисков,Требует донастройки
Снижение Time to market,2,Количество задач в RFT (Ready for Test),Общее количество задач в статусе RFT,Не более 15 задач,Настроенный workflow статусов,Отражает нагрузку на тестирование: сколько задач находится не в тестировании,Готово
Снижение Time to market,2.1,Общее время задач релиза в RFT,Сумма времени нахождения задач в RFT в релизе,Не более 24 часов на задачу,Логирование переходов статусов,Через сколько времени задача была взята в тестирование,Готово
Снижение Time to market,3,Среднее время тестирования задач (эпиков),Среднее время нахождения задач в статусе In Testing,2–4 рабочих дня,"Нужна категория сложности или декомпозиция эпиков","Время на создание и прохождение кейсов; анализ причин роста времени",Требует донастройки
Снижение Time to market,3.1,Максимальное время нахождения в In Testing (в рамках релиза / месяца / квартала),Максимальное среднее время нахождения задач в статусе In Testing,Не более 10 рабочих дней,Логирование переходов статусов,Контрольная метрика к предыдущей,Готово
Снижение стоимости тестирования,1,Время затраченное на подготовку к тестированию,Соотношение подготовки к тестированию по месяцам и кварталам,10–15% рабочего времени,Учёт затрат времени по видам активности,"Статистика для планирования релизов, определения зон развития, выявления отклонений и оценки динамики изменений",Требует донастройки
Снижение стоимости тестирования,1.1,Время затраченное на регресс,Время начала регресса - время окончания регресса,Не более 20% времени релиза,Автоматический расчёт по статусам,"Планирование ресурсов на регресс, поиск ускорения",Готово
Снижение стоимости тестирования,1.2,Время на покрытие функционала кейсами (по тестировщикам),Время на составление тестовых кейсов при тестировании нового функционала,Не более 30% времени задачи,Нужна категория сложности,"Планирование расширения тестового покрытия, оценка рисков пропуска дефектов",Требует донастройки
Снижение стоимости тестирования,2,Количество задач закрываемых джунами / мидлами / сеньорами,Соотношение количества задач по грейдам в разрезе сложности,"Джуны до 30% мидлы 40-50% сеньоры 20-30%",Нужна оценка сложности (по приоритету и серьезности),Отслеживание распределения нагрузки: кто закрывает сложные и тяжелые задачи,Требует донастройки
Снижение стоимости тестирования,3,Bus factor — сохранение компетенции,Количество проектов / количество тестировщиков способных тянуть проект,Не менее 2 тестировщиков на проект,Матрица компетенций,Избежать ситуации «один тестировщик — один проект»; распределение задач и подмен,Готово
Снижение стоимости тестирования,4,Количество человеко-дней на онбординг новичка,Количество человеко-дней затраченное на онбординг новичка,Не более 20 человеко-дней,План онбординга 30/60/90,Затраты на обучение новичка и пути их сокращения,Готово
Снижение стоимости тестирования,5,Количество человеко-дней на онбординг в новый проект,Количество человеко-дней затраченное на онбординг сотрудника в проект,Не более 5 человеко-дней,Документация по проекту,Затраты на вхождение в проект и пути их снижения,Готово
